"If our lives are already written, it would take a courageous\nman to change the script." | "- 'Alan Wake'."
“We stand upon the precipice of change. The world fears the\ninevitable plummet into the abyss. Watch for that moment…\nand when it comes, do not hesitate to leap. It is only when\nyou fall that you learn whether you can fly." | "- 'Dragon Age II'."
"Some trees flourish, others die. Some cattle grow strong,\nothers are taken by wolves. Some men are born rich enough and\ndumb enough to enjoy their lives. Ain't nothing fair.\nYou know that." | "- John Marston, 'Red Dead Redemption'."
"The healthy human mind doesn't wake up in the morning thinking\nthis is its last day on Earth. But I think that's a luxury,\nnot a curse. To know you're close to the end is a kind of\nfreedom. Good time to take inventory." | "- 'Call Of Duty: Modern Warfare 2'."
"Stand amongst the ashes of a trillion dead souls, and ask the\nghosts if honor matters. The silence is your answer." | "- 'Mass Effect 3'."
"Men are but flesh and blood. They know their doom,\nbut not the hour." | "- 'The Elder Scrolls 4: Oblivion'."
"Nothing is True, Everything is Permitted." | "- 'Assasin's Creed 1'."
"Once you believe, the truth and a lie are quite the same thing.\nLet your heart decide. It's in your heart you must confide..." | "- 'Kingdom Hearts 358/2 Days'."
“We all make choices, but in the end... our choices make us." | "- Andrew Ryan, 'Bioshock'."
"The right man in the wrong place can make all the difference\nin the world." | "- 'Half-Life 2'."
"A hero need not speak. When he is gone, the world will speak for him." | "- 'Halo 3'."
"Hope is what makes us strong. It is why we are here. It is\nwhat we fight with when all else is lost." | "- 'God Of War 3'"
"Life is cruel. Of this I have no doubt. One can only hope\nthat one leaves behind a lasting legacy." | "- 'Gears Of War 2'."
"True grace is beautiful in its imperfection, honest in its\nemotion, freed by its on reality ." | "- 'League Of Legends'."
"You can’t break a man the way you break a dog, or a horse.\nThe harder you beat a man, the taller he stands." | "- 'Far Cry 2'."
"It's more important to master the cards you're holding than\nto complain about the ones your opponent was dealt." | "- 'Pokemon Black And White'."
"A sword wields no strength unless the hands that holds it has courage." | "- 'Legend of Zelda: Twilight Princess'."
"If history is to change, let it change. If the world is to\nbe destroyed, so be it. If my fate is to die, I must simply laugh." | "- Magus, 'Chrono Trigger'."
"It’s a funny thing, ambition. It can take one to sublime\nheights or harrowing depths. And sometimes they are one and the same." | "- 'Dishonored'."
"Even in dark times, we cannot relinquish the things that make us human." | "- ' Metro 2033'."
"A strong man doesn’t need to read the future. He makes his own." | "- Solid Snake, 'Metal Gear Solid'."
"Curiosity is essential to carving your own path through life.\nGet too curious, though, and it'll be a short walk." | "- 'Kingdom Hearts 358/2 Days'"
"What is better – To be born good, or to overcome your evil\nnature through great effort?" | "- 'The Elder Scrolls V: Skyrim'."
"A man chooses, a slave obeys." | "- Andrew Ryan, 'Bioshock'."
"Your moves are miscalculated and underestimating your enemies—your\nbiggest mistake. You will find the will of a single\nman can be broken." | "- 'Call Of Duty: Modern Warfare 3'."
"Batman: You want to know something funny? Even after everything\nyou've done, I would have saved you.\nThe Joker: Actually that is pretty funny." | "- 'Batman: Arkham City'."
"Death is inevitable. Our fear of it makes us play safe, blocks\nout emotion. It's a losing game, without passion you are already dead." | "- 'Max Payne 2: The Fall Of Max Payne'."
"Einstein would turn over in his grave. Not only does God play dice,\nthe dice are loaded." | "- 'Alpha Centauri'."
"However, that parting need not last forever... Whether a parting\nbe forever or merely for a short time... That is up to you." | "- 'Majora's Mask'."
"The harder you have to try, the more points you deserve!" | "- 'Oregon Trail'."
"The moment you close your eyes on the battlefield is the moment\nyou never open them again." | "- 'Metal Gear Solid 3: Snake Eater'."
"Courage need not be remembered, for it is never forgotten!" | "- 'The Legend Of Zelda: Breath Of The Wild'."
"Hatred and prejudice will never be eradicated. And the witch\nhunts will never be about witches. To have a scapegoat, that's the key." | "- 'The Witcher 3: Wild Hunt'."
"There's nothing as dangerous as a crowd with the wrong idea." | "- 'Pillars Of Eternity'."
"Strength lies in knowing oneself." | "- 'Planescape: Torment'."
"To say that nothing is true is to realize that the foundations\nof society are fragile and that we must be the shepherds\nof our own civilization." | "- Ezio, 'Assassin's Creed: Revelations'."
"Tell me Bats. What are you scared of? Failing to save this\ncesspool of a city?" | "- Joker, 'Batman: Arkhan Asylum'."
"Closing your eyes forces you to look at the darkness inside." | "- 'Max Payne 2: The Fall of Max Payne'."
"Life is a negotiation. We all want. We all give to get what we want." | "- 'Mass Effect 2'."
"Don't wish it were easier, wish you were better." | "- 'Animal Crossing'."
"Guide this one to where the traveler never tires,\nThe lover never leaves,\nThe hungry never starve." | "- 'Mass Effect 3'."
"The courage to walk into the darkness, but strength to\nreturn to the light." | "- 'Destiny'."
"Good men mean well. We just don't always end up doing well" | "- 'Dead Space 3'."
"We are the sum of our deeds, not our names." | "- 'Final Fantasy Tactics: The War Of The Lions'."
"To say that everything is permitted is to understand that\nwe are the architects of our actions and that we must live\nwith our consequences, whether glorious or tragic." | "- Ezio, 'Assassin's Creed: Revelations'."
"I've struggled a long time with surviving, but no matter\nwhat, you have to find something to fight for." | "- 'The Last Of Us'."
"Human beings can choose the kind of life that they want to live.\nWhat's important is that you choose life... and then live." | "- 'Metal Gear Solid'."
"I had no choice, I had to do it…I only see the opportunity.\nBut when I’m gone, everyone’s gonna remember my name: Big Smoke!" | "- 'Grand Theft Auto: San Andreas'."
"It's easy to forget what a sin is in the middle of a battlefield." | "- Solid Snake, 'Metal Gear Solid'."
"The genius of the hole: no matter how long you spend climbing out,\nyou can still fall back down in an instant." | "- 'Max Payne 2: The Fall Of Max Payne'."
"Does this unit have a soul?" | "- 'Mass Effect 3'."
"The best solution to a problem is usually the easiest one!" | "- 'Portal 2'."
"Remember - switching to your pistol is always faster than reloading." | "- 'Call Of Duty 4: Modern Warfare'."
"War is where the young and stupid are tricked by the old and\nbitter into killing each other." | "- 'Grand Theft Auto IV'."
"I can't tell you to remember me, but I can't bear for you to forget me." | "- 'Silent Hill 2'."
“I don’t need a weapon; my friends are my power!" | "- 'Kingdom Hearts'."
"I am a man of unfortunate and I must seek my fortune." | "- 'Uncharted 4'."
"Always fear the flame, lest you be devoured by it, and lose yourself." | "- 'Dark Souls'."
 "A famous explorer once said, that the extraordinary is in\nwhat we do, not who we are." | "- 'Tomb Raider 2013'."
"She just needs to realize the only difference between savage\nand sophisticated is the proper seasoning." | "- 'Fallout New Vegas'."
"Life. Dreams. Hope. Where do they come from? Where do they go?\nSuch meaningless things..." | "- 'Final Fantasy VI'."
"What is bravery, without a dash of recklessness?" | "- 'Dark Souls'."
"Life is a serious battle, and you have to use the tools you're given." | "- 'Pokemon Black And White'."
"Often when we guess at others' motives, we reveal only our own." | "- 'Destiny'."
